CAMPO,DESCRIÇÃO,DOMÍNIO,MIN,MAX,REFERÊNCIA,UNIDADE,FONTE
CITY chave,Nome da Cidade,Caracter,-,-,,,-
STATE chave,Nome do Estado,Caracter,-,-,,,-
CAPITAL,1 se for Capital do Estado,Numérico,0,1,,,-
IBGE_RES_POP,População Residente,Numérico,805,11.253.503,2010,-,https://sidra.ibge.gov.br/tabela/1497
IBGE_RES_POP_BRAS,População Residente Brasileira,Numérico,805,11.133.776,2010,-,https://sidra.ibge.gov.br/tabela/1497
IBGE_RES_POP_ESTR,População Residente Estrangeira,Numérico,0,119.727,2010,-,https://sidra.ibge.gov.br/tabela/1497
IBGE_DU,Total de Domicílios,Numérico,0,3.576.148,2010,-,https://sidra.ibge.gov.br/tabela/3495
IBGE_DU_URBAN,Domicílios Urbanos,Numérico,0,3.548.433,2010,-,https://sidra.ibge.gov.br/tabela/3495
IBGE_DU_RURAL,Domicílios Rurais,Numérico,0,33.809,2010,-,https://sidra.ibge.gov.br/tabela/3495
IBGE_POP,População Residente com Urbanização Regular,Numérico,174,10.463.636,2010,-,https://sidra.ibge.gov.br/tabela/3365
IBGE_1,População com Urbanização Regular - até 1 ano,Numérico,0,129.464,2010,-,https://sidra.ibge.gov.br/tabela/3365
IBGE_1_4,População com Urbanização Regular - de 1 a 4 anos,Numérico,5,514.794,2010,-,https://sidra.ibge.gov.br/tabela/3365
IBGE_5_9,População com Urbanização Regular - de 4 a 9 anos,Numérico,7,684.443,2010,-,https://sidra.ibge.gov.br/tabela/3365
IBGE_10_14,População com Urbanização Regular - de 10 a 14 anos,Numérico,12,783.702,2010,-,https://sidra.ibge.gov.br/tabela/3365
IBGE_15_59,População com Urbanização Regular - de 15 a 59 anos,Numérico,94,7.058.221,2010,-,https://sidra.ibge.gov.br/tabela/3365
IBGE_60+,População com Urbanização Regular - acima de 60 anos,Numérico,-,-,2010,-,https://sidra.ibge.gov.br/tabela/3365
IBGE_PLANTED_AREA,Área Plantada (hectares),Numérico,0,1.205.669,2017,"1 hectare (1 hectare = 10,000 square meters)",https://sidra.ibge.gov.br/tabela/5457
IBGE_CROP_PRODUCTION_$,Produção Agrícola,Numérico,-,-,2017,"$ 1,000 reais",https://sidra.ibge.gov.br/tabela/5457
IDHM Ranking,Classificação no IDH,Numérico,-,-,2010,-,http://www.br.undp.org/content/brazil/pt/home/idh0.html
IDHM,Índice de Desenvolvimento Humano (IDH),Numérico,418,862,2010,-,http://www.br.undp.org/content/brazil/pt/home/idh0.html
IDHM_Renda,Índice de Renda Nacional Bruta (IDH-RNB),Numérico,0.4,891,2010,-,http://www.br.undp.org/content/brazil/pt/home/idh0/rankings/idhm-municipios-2010.html
IDHM_Longevidade,Índice de Expectativa de Vida (IDH),Numérico,672,894,2010,-,http://www.br.undp.org/content/brazil/pt/home/idh0/rankings/idhm-municipios-2010.html
IDHM_Educacao,Índice de Educação (IDH),Numérico,207,825,2010,-,http://www.br.undp.org/content/brazil/pt/home/idh0/rankings/idhm-municipios-2010.html
